And,Andromeda,the Chained Maiden
Ant,Antlia,the Air Pump
Aps,Apus,the Bird of Paradise
Aqr,Aquarius,the Water Bearer
Aql,Aquila,the Eagle
Ara,Ara,the Altar
Ari,Aries,the Ram
Aur,Auriga,the Charioteer
Boo,Boötes,the Herdsman
Cae,Caelum,the Engraving Tool
Cam,Camelopardalis,the Giraffe
Cnc,Cancer,the Crab
CVn,Canes Venatici,the Hunting Dogs
CMa,Canis Major,the Great Dog
CMi,Canis Minor,the Lesser Dog
Cap,Capricornus,the Sea Goat
Car,Carina,the Keel
Cas,Cassiopeia,the Seated Queen
Cen,Centaurus,the Centaur
Cep,Cepheus,the King
Cet,Cetus,the Sea Monster
Cha,Chamaeleon,the Chameleon
Cir,Circinus,the Drafting Compass
Col,Columba,the Dove
Com,Coma Berenices,Berenice's Hair
CrA,Corona Australis,the Southern Crown
CrB,Corona Borealis,the Northern Crown
Crv,Corvus,the Crow
Crt,Crater,the Cup
Cru,Crux,the Southern Cross
Cyg,Cygnus,the Swan
Del,Delphinus,the Dolphin
Dor,Dorado,the Dolphinfish
Dra,Draco,the Dragon
Eql,Equuleus,the Little Horse
Eri,Eridanus,the River
For,Fornax,the Furnace
Gem,Gemini,the Twins
Gru,Grus,the Crane
Her,Hercules,Hercules
Hor,Horologium,the Clock
Hya,Hydra,the Water Snake
Hyi,Hydrus,the Male Water Snake
Ind,Indus,the Indian
Lac,Lacerta,the Lizard
Leo,Leo,the Lion
LMi,Leo Minor,the Lesser Lion
Lep,Lepus,the Hare
Lib,Libra,the Scales
Lup,Lupus,the Wolf
Lyn,Lynx,the Lynx
Lyr,Lyra,the Lyre
Men,Mensa,the Table
Mic,Microscopium,the Microscope
Mon,Monoceros,the Unicorn
Mus,Musca,the Fly
Nor,Norma,the Carpenter's Square
Oct,Octans,the Octant
Oph,Ophiuchus,the Serpent Bearer
Ori,Orion,the Hunter
Pav,Pavo,the Peacock
Peg,Pegasus,the Winged Horse
Per,Perseus,the Hero
Phe,Phoenix,the Phoenix
Pic,Pictor,the Painter
Psc,Pisces,the Fishes
PsA,Piscis Austrinus,the Southern Fish
Pup,Puppis,the Stern
Pyx,Pyxis,the Magnetic Compass
Ret,Reticulum,the Reticle
Sge,Sagitta,the Arrow
Sgr,Sagittarius,the Archer
Sco,Scorpius,the Scorpion
Scl,Sculptor,the Sculptor
Sct,Scutum,the Shield
Ser,Serpens,the Serpent
Sex,Sextans,the Sextant
Tau,Taurus,the Bull
Tel,Telescopium,the Telescope
Tri,Triangulum,the Triangle
TrA,Triangulum Australe,the Southern Triangle
Tuc,Tucana,the Toucan
UMa,Ursa Major,the Great Bear
UMi,Ursa Minor,the Lesser Bear
Vel,Vela,the Sails
Vir,Virgo,the Maiden
Vol,Volans,the Flying Fish
Vul,Vulpecula,the Fox